encounter,id,placard_st,placard_desc,facility_name,bus_st_date,category_cd,description,num,street,city,state,zip,inspect_dt,start_time,end_time,municipal,ispt_purpose,abrv,purpose,reispt_cd,reispt_dt,status
202111290004,110,1,Inspected & Permitted,Hamms Market,1984-06-17,115,Packaged Food Only,1239,Itin Street,Pittsburgh,PA,15212,2021-11-29,09:45:00,10:20:00,Pittsburgh-124,50,Cnslt,Consultation,2,,7
201509080036,110,1,Inspected & Permitted,Hamms Market,1984-06-17,115,Packaged Food Only,1239,Itin Street,Pittsburgh,PA,15212,2015-09-08,12:15:00,12:45:00,Pittsburgh-124,1,Ini,Initial,2,,7
201801110065,110,1,Inspected & Permitted,Hamms Market,1984-06-17,115,Packaged Food Only,1239,Itin Street,Pittsburgh,PA,15212,2018-01-11,15:45:00,16:20:00,Pittsburgh-124,1,Ini,Initial,2,,7
201404220003,202,1,Inspected & Permitted,Mazzotta's Market,1984-06-17,113,Retail/Convenience Store,730,Broadway Ave,Mc Kees Rocks,PA,15136,2014-04-21,13:55:00,14:40:00,Stowe,1,Ini,Initial,2,,7
201411100011,202,1,Inspected & Permitted,Mazzotta's Market,1984-06-17,113,Retail/Convenience Store,730,Broadway Ave,Mc Kees Rocks,PA,15136,2014-11-10,13:00:00,13:45:00,Stowe,1,Ini,Initial,2,,7
201409260022,213,1,Inspected & Permitted,The Strip District Meats,1970-01-01,172,Food Processor,2123,Penn Avenue,Pittsburgh,PA,15222,2014-09-24,15:30:00,15:45:00,Pittsburgh-102,7,Srv Req,Service Request,2,,1
201712130002,213,1,Inspected & Permitted,The Strip District Meats,1970-01-01,172,Food Processor,2123,Penn Avenue,Pittsburgh,PA,15222,2017-12-11,15:30:00,16:30:00,Pittsburgh-102,1,Ini,Initial,2,,1
202206230001,213,1,Inspected & Permitted,The Strip District Meats,1970-01-01,172,Food Processor,2123,Penn Avenue,Pittsburgh,PA,15222,2022-06-23,08:00:00,11:00:00,Pittsburgh-102,2,Reispt,Reinspection,2,,1
202207080005,213,1,Inspected & Permitted,The Strip District Meats,1970-01-01,172,Food Processor,2123,Penn Avenue,Pittsburgh,PA,15222,2022-07-08,11:10:00,12:00:00,Pittsburgh-102,1,Ini,Initial,2,,1
202206220027,213,1,Inspected & Permitted,The Strip District Meats,1970-01-01,172,Food Processor,2123,Penn Avenue,Pittsburgh,PA,15222,2022-06-22,19:55:00,21:00:00,Pittsburgh-102,7,Srv Req,Service Request,1,2022-06-23,1
202105110017,213,1,Inspected & Permitted,The Strip District Meats,1970-01-01,172,Food Processor,2123,Penn Avenue,Pittsburgh,PA,15222,2021-05-11,11:20:00,13:00:00,Pittsburgh-102,1,Ini,Initial,2,,1
201405290006,213,1,Inspected & Permitted,The Strip District Meats,1970-01-01,172,Food Processor,2123,Penn Avenue,Pittsburgh,PA,15222,2014-05-28,11:30:00,12:15:00,Pittsburgh-102,8,Comp,Complaint,2,,1
201410290004,213,1,Inspected & Permitted,The Strip District Meats,1970-01-01,172,Food Processor,2123,Penn Avenue,Pittsburgh,PA,15222,2014-10-27,13:30:00,14:30:00,Pittsburgh-102,8,Comp,Complaint,3,,1
202104220049,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2021-04-22,15:00:00,15:10:00,Pittsburgh-107,63,Covid-19 Assessment,COVID-19 Assessment,2,,7
202103080054,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2021-03-08,14:20:00,16:00:00,Pittsburgh-107,2,Reispt,Reinspection,3,,7
202107280031,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2021-07-28,14:00:00,15:50:00,Pittsburgh-107,1,Ini,Initial,2,,7
201510130064,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2015-10-13,13:40:00,15:45:00,Pittsburgh-107,1,Ini,Initial,1,2015-10-27,7
201610270019,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2016-10-27,12:10:00,14:00:00,Pittsburgh-107,1,Ini,Initial,2,,7
201604070053,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2016-04-07,13:20:00,15:00:00,Pittsburgh-107,1,Ini,Initial,2,,7
201510280029,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2015-10-28,11:45:00,12:45:00,Pittsburgh-107,2,Reispt,Reinspection,2,,7
201408280014,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2014-08-25,09:30:00,10:45:00,Pittsburgh-107,1,Ini,Initial,2,,7
201710050004,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2017-10-05,09:55:00,11:40:00,Pittsburgh-107,1,Ini,Initial,2,,7
201811290027,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2018-11-29,13:45:00,14:25:00,Pittsburgh-107,2,Reispt,Reinspection,2,,7
201911180019,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2019-11-18,11:30:00,13:45:00,Pittsburgh-107,1,Ini,Initial,7,,7
202102110081,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2021-02-11,14:35:00,16:10:00,Pittsburgh-107,59,"Covid-19, Ini","COVID-19, Initial Inspection",1,2021-02-16,7
201810030045,59,1,Inspected & Permitted,Shadyside Market,1984-06-17,113,Retail/Convenience Store,5414,Walnut St,Pittsburgh,PA,15232,2018-10-03,13:55:00,16:50:00,Pittsburgh-107,1,Ini,Initial,1,2018-10-15,7
